putative Compound	hum_101_2 _cor	hum_102_2 _cor	hum_103_2 _cor	hum_104_2 _cor	hum_105_2 _cor	hum_106_2 _cor	hum_120_2 _cor	hum_121_2 _cor	hum_141_2 _cor	hum_153_2 _cor	hum_98_2 _cor	Wt_132_2 _cor	Wt_133_2 _cor	Wt_134_2 _cor	Wt_135_2 _cor	Wt_142_2 _cor	Wt_147_2 _cor	Wt_148_2 _cor	Wt_152_2 _cor	Wt_91_2 _cor	Wt_wt2_2 _cor
"Mevalonic_acid-1,5-lactone_(1TMS)_454636.47_TRUE"	8957	11581	8996	13183	12949	13419	15122	20005	15869	16319	15521	18515	15650	16871	16282	13869	15078	13695	20689	11192	14189
myo-Inositol-1-phosphate_(7TMS)_788938.62_PRED	420	411	368	836	542	543	548	795	714	984	739	626	731	918	972	530	840	897	896	398	894
NicotiaNaNmine_(4TMS)_902113.62_PRED	925	1817	1126	1337	1944	1687	1588	1966	1563	1966	1814	1759	1898	1871	1433	1617	1618	1695	1880	1578	1637
NicotiNaNmide (1TMS) [MP-1.1]	2133	4780	3446	2857	5431	4552	5107	7734	3856	3905	3143	4284	3946	6348	4340	2141	3824	3826	4491	4761	3766
NicotiNaNmide (2TMS) [MP-2.1]	353	825	1295	1308	676	923	568	307	775	1525	946	497	566	631	1339	522	1422	1430	1390	1099	1140
NicotiNaNmide_(2TMS)_455050_TRUE	6604	9036	6554	10163	9862	9628	10847	15291	11690	12145	11491	13476	11672	12660	12580	10667	11337	10621	15191	8290	10901
"Nicotinic_acid,_6-hydroxy-_(2TMS)_503069.03_TRUE"	747	917	658	556	612	835	1061	885	954	1045	791	974	1071	995	1060	890	1023	806	1127	629	875
NoNaNdecane_653263.69_PRED	8230	9271	7792	8465	9147	13493	13170	13388	11579	11687	10792	9694	9468	13159	9696	8552	9847	9550	11349	9430	13511
"NoNaNn-1-ol,_n-_(1TMS)_336924.19_PRED"	42385	55786	45141	54614	59124	62222	70945	87399	62175	74066	66233	70872	63524	72598	64293	54600	59044	60428	76292	52551	62091
NoNaNnoate ((1TMS)) [MP-1.1]	268	601	936	1474	1149	1487	1119	1259	2354	3394	345	1628	1261	1914	1797	1857	3104	3619	2942	171	2840
Norleucine_(2TMS)_337195.69_TRUE	185641	242568	185653	228879	256661	266914	318496	379062	269926	313063	272670	320001	285179	310986	274305	233337	261103	248054	327855	227623	264735
"Octadecadienoic_acid,_9,12-(Z,Z)-_(1TMS)_775215.19_PRED"	12972	14619	17781	28982	18198	19067	16402	35341	14157	28339	30042	13893	14031	26228	18478	10819	20092	21051	26799	20952	21541
"Octadecan-1-ol,_n-_(1TMS)_754094.19_PRED"	819	1061	915	1168	979	1225	1327	1918	1138	1165	1219	1410	1314	1658	1262	1047	1101	1315	1370	1083	1220
Ornithine (4TMS) [MP-1.1]	360	450	574	445	2710	558	448	986	613	749	557	660	600	725	401	728	432	763	488	381	934
Ornithine_(3TMS)_(Derivate_not_found)_492548.84_PRED	2826	3489	3473	4759	3620	4287	3815	4045	3951	5334	4970	4451	4211	4727	4046	3049	4179	4136	4036	2996	5576
Ornithine_(4TMS)_572079.81_PRED	19669	22791	9873	12748	21924	24194	29380	43406	26143	17087	19367	37930	30085	33788	21840	20936	17594	13461	23264	17722	19087
"Orotic_acid,_4,5-dihydro-_(3TMS)_616339.19_TRUE"	399	612	924	1095	1015	953	915	466	684	1053	1051	924	806	959	891	726	709	891	1027	602	1347
Orthophosphate	590808	774800	522848	624005	778711	817467	1053384	1206158	853145	920951	759213	1092605	952068	939612	830082	718013	842800	699509	1005803	724897	760708
Oxalic_acid_(2TMS)_236929.91_PRED	18810	30604	36310	61692	14450	45671	20547	4913	37188	79519	51860	27494	33975	23955	54972	47784	68644	48087	76721	25643	58185
"Pentadecan-1-ol,_n-_(1TMS)_636157.25_PRED"	2849	3672	2975	3026	3480	4361	5311	5283	4122	3258	3662	4687	4431	4898	4161	3511	3057	3091	3996	3323	4120
"Pentadecane,_n-_462471.41_PRED"	2347	2784	2140	3302	3269	3451	3755	4877	4112	4223	3847	4622	4005	4394	4301	3830	3832	3625	5039	2857	3874
"Pentadecanoic_acid_methyl_ester,_n-_620606.38_PRED"	3566	4052	3560	3331	3998	5015	6088	5738	4546	4021	4485	5279	5175	5342	4681	4050	3516	3863	4597	3874	4530
Phenethylamine_(2TMS)_490740.62_TRUE	59313	72734	77346	94893	78329	88541	80347	79903	87116	115538	102081	97093	92367	103176	86839	68310	89606	87470	82505	65669	119980
Phenylalanine (2TMS) [MP-1.1]	1643	2047	2099	2375	2222	2180	2791	3134	2380	2337	1817	2607	2506	2529	2600	2139	2185	1983	2436	1731	2465
Phenylalanine_(1TMS)_492082.22_PRED	6172	7684	8117	10162	8097	9200	7804	8138	8982	11576	11067	9697	9098	10611	8955	7143	9254	9120	8653	6768	12747
Phenylpyruvic_acid_(2TMS)_575884_TRUE	6900	7583	3377	4670	7618	8149	9648	14121	8635	6206	6831	12894	10270	11087	7577	7231	6055	4817	8019	6147	6832
Phosphoric_acid_monomethyl_ester_(2TMS)_258939.19_PRED	3974	6373	4675	9114	8687	7929	14871	43823	3432	15953	9514	16708	13517	17266	4219	18019	5124	6869	56081	13074	9303
"Pimelic_acid,_2,6-diamino-_(4TMS)_654293.81_TRUE"	2203	2501	2035	2143	2476	3715	3501	3375	3122	3088	2662	2831	2854	3485	2986	2517	2565	2278	2938	2575	3601
Proline [MP-1.1]	5809	6730	5353	6638	7095	8114	10255	11336	8076	7740	6718	9085	8262	8910	6510	7130	6696	6171	8762	6500	8375
"Proline,_4-hydroxy-,_trans-_(3TMS)_450628.06_PRED"	3326	5307	7179	6774	8783	5887	4654	13876	8153	6841	7157	7563	9695	9646	3000	8970	5183	10142	5589	3559	10452
Proline_(2TMS)_340374.03_PRED	16575	15295	9618	12469	15018	18720	20841	29416	16700	19733	13116	19462	13808	20629	11519	14223	15597	15229	16709	14196	15004
Proline_[+CO2]_(2TMS)_534232.75_TRUE	7525	5966	10943	15194	5290	9808	9054	4660	10457	19198	16331	6018	6648	6906	15840	10828	14238	15063	17679	9412	13076
Psicose_(1MEOX)_(5TMS)_BP_573563.38_TRUE	5535	6233	2796	4166	6258	6846	8123	11730	7248	5412	5849	10681	8601	9610	6260	6160	5102	3831	6599	4969	5704
Putrescine_(4TMS)_519185.38_PRED	698	756	144	442	195	1085	2578	365	471	454	305	576	173	528	2454	139	667	146	1308	1765	302
"Pyridine, 2-Hydroxy- (1TMS) [MP-1.1]"	5874	7990	4007	6876	9982	9819	12462	10617	8201	7557	6080	11922	8511	13536	7746	5878	6407	6556	12573	7574	6414
"Pyridine,_3-hydroxy-_(1TMS)_283546.44_PRED"	477	548	412	445	821	821	864	1403	533	369	378	665	619	962	324	364	293	520	560	628	426
Pyroglutamate (2TMS) [MP-1.1]	230917	266669	200806	244866	248833	307675	396852	385926	340191	350453	271487	368420	337418	343372	369607	297048	330084	278909	421973	231624	311948
Pyrophosphate [MP-1.1]	893	1534	797	1252	1439	1898	1164	1036	1663	1616	1361	2659	2394	2838	1902	1446	950	1466	1499	747	1840
Pyruvate (1MEOX;1TMS) [MP-1.1]	750	755	547	901	784	1563	1809	2337	2148	1481	1155	2435	1823	1932	1919	1849	1104	1148	2216	844	1484
Rhamnose (1MEOX;4TMS) [MP-1.1]	812	1009	960	291	170	1227	1353	1405	1170	422	481	1133	984	1563	504	1082	1086	1197	1284	1033	367
Rhamnose_(1MEOX)_(4TMS)_MP_517543.41_PRED	1118	1229	885	320	162	1632	NaN	1446	1209	279	437	1196	861	NaN	2019	971	1303	994	1796	1282	326
"Ribonic_acid-1,4-lactone_(3TMS)_550463.56_TRUE"	14702	20282	15003	12798	17445	21858	26061	25520	27569	16936	17626	31273	28834	28231	21362	24239	17528	17799	21207	15475	21731
Ribose_(1MEOX)_(4TMS)_MP_503578.66_TRUE	23306	27336	22923	27124	27875	33134	40071	39466	34314	39357	30351	33275	31972	36650	33259	29580	32526	32344	43938	24976	34565
Serine (2TMS)	481	662	438	377	868	874	989	1235	619	434	496	1044	1000	1205	286	467	387	487	373	601	536
Serine (3TMS) [MP-1.1]	23477	26550	23211	25327	28928	34343	43955	47391	33881	33921	31738	39983	36668	37800	33855	27284	28311	29209	37120	26444	36715
Serine (4TMS)	1101	1549	1083	1724	1756	1793	1993	2595	1941	2308	1966	2425	2112	2468	2134	1689	2031	1822	2642	1651	1828
"Serine,_N-acetyl-_(2TMS)_491357.06_PRED"	15710	19577	20229	25413	20937	24024	21605	22357	24260	30815	26885	26273	24313	27051	23454	18188	23981	23104	22276	17418	31702
"Serine,_O-acetyl-_(2TMS)_410213.62_TRUE"	1162	1521	1477	146	3462	2257	1990	6194	1007	65	135	1973	2387	3417	47	1094	61	1884	121	1517	172
Serine_(2TMS)_328955.09_PRED	6879	8891	6911	8722	9528	9908	11994	13958	9606	11683	10215	11918	10494	11497	10284	8528	9648	9199	12317	8450	9997
Siloxane_596806.25_PRED	1323	1325	1281	1459	1359	1281	1339	1353	1462	1304	1319	1181	1244	1167	1285	1082	1193	1358	1250	1386	1247
Siloxane_739483_PRED	555	658	339	1085	746	769	910	1600	391	614	1188	556	672	1000	516	497	770	587	517	884	613
Siloxane_818848.44_PRED	363	422	353	988	462	587	563	833	246	528	861	422	417	680	382	433	713	429	417	540	548
similar_to_Asparagine_Derivate_505075.09_PRED	24253	27469	20923	25448	26033	32228	40884	38169	34784	37097	27975	38147	34485	35202	37971	29978	34285	29168	43940	23569	32089
similar_to_Diethanolamine_(2TMS)_335362.44_PRED	1067	1480	1179	1398	1682	1623	1873	2449	1616	2015	1623	1842	1707	1845	1464	1479	1615	1735	1946	1358	1759
"Sorbitol, U13C-"	19201	17614	25035	33582	27519	26780	35844	46317	23355	28367	26693	23102	24015	35607	22672	19420	20842	33178	29686	23235	32961
Spermidine (5TMS) [MP-1.1]	213	256	708	659	560	435	281	887	754	672	524	616	636	780	229	472	323	645	213	258	1011
SucciNaNte (2TMS) [MP-1.1]	4813	4353	4068	5234	4790	5650	8358	8529	6663	7388	5513	7147	6183	6787	6031	6144	5341	4302	6424	4002	7925
Succinic_acid_(2TMS)_365265.25_TRUE	44236	39535	36183	48239	42278	50572	76145	77906	61915	68595	46628	66274	55250	61915	54488	54839	46738	38400	58500	38515	66588
Tartaric_acid_(4TMS)_511834.44_TRUE	24733	29374	23237	27250	27620	33682	40937	40085	36620	39087	29786	36194	34740	38722	35617	31736	34831	31678	46198	25571	34810
Tetradecanoic_acid_methyl_ester_(FAME_MIX)_489255.38_PRED	51491	63704	66606	83167	68433	76171	73543	71138	76959	100450	87674	83417	78693	91260	75162	58501	76030	74075	72821	58072	102605
Threonine (3TMS) [MP-1.1]	4807	5533	4505	5818	5573	5915	7081	8191	6356	6541	5734	6853	6801	7758	5990	4982	5001	4719	6004	5176	6721
"Threonine,_O-methyl-,_L-_(2TMS)_334293.72_PRED"	438	602	427	468	623	619	699	911	597	812	608	847	649	638	636	547	632	541	720	512	584
Threose_(1MEOX)_(3TMS)_MP_432507.62_PRED	697	1156	361	685	1293	1090	1584	2563	1153	725	780	2271	1744	2358	807	825	709	569	1124	684	859
Triacontanoic_acid_methyl_ester_(FAME_MIX)_1116102.38_PRED	4082	4161	5876	7946	7305	7168	8318	11820	5250	6722	7723	5905	5788	15736	4998	4266	4470	7366	7396	11957	6843
"Tridecan-1-ol,_n-_(1TMS)_547762.06_PRED"	7934	11479	8410	7167	9745	12234	14114	14286	14790	9175	9968	17109	15503	16055	11546	13164	10063	9989	11718	8044	11826
"Tridecane,_n-_342778.75_PRED"	44103	39242	25819	34955	38448	48974	58765	80679	44246	52028	35599	50972	35925	56341	31380	37703	40906	39569	45876	38699	41276
Triethanolamine_(3TMS)_493189.91_PRED	7211	8959	9654	11418	9292	10964	10047	9569	10878	14089	11962	11945	11170	12787	10577	8270	11079	10857	9994	8001	14883
Tropine_(1TMS)_336960.03_PRED	11535	15264	11548	13950	15804	16497	19063	22321	17137	19800	17618	19762	17838	19262	17922	15101	16420	15645	20415	13446	16874
Tropinone_(1MEOX)_343648.91_PRED	15036	13988	8549	11224	12952	16874	18231	26282	15433	17754	11947	17738	12305	19312	11041	12964	13883	13441	15550	13110	13838
Tryptophan (3TMS) [MP-1.1]	640	1047	852	1279	1139	923	1620	2129	1021	1374	868	1584	1322	1586	1481	1104	1461	1402	1841	781	1220
Tyrosine (3TMS) [MP-1.1]	3293	2820	2797	3253	3374	3570	5216	6056	5419	3328	3390	5068	4243	4929	4045	4264	3025	2901	3791	2965	4696
Tyrosine_(3TMS)_659029.31_TRUE	83556	95173	73485	73791	87678	140259	134001	125355	122739	110244	97994	136835	134695	134043	127814	98242	102518	84022	110184	94105	138457
Uracil (2TMS) [MP-1.1]	856	827	735	1226	1038	890	990	1070	913	1691	1484	905	880	1098	1053	944	1158	1215	1742	839	1497
Urea (2TMS) [MP-1.1]	80126	70603	45693	58616	68575	85567	94032	132195	81476	94143	62620	87905	65299	93243	53924	67641	73768	67978	82190	60548	71988
Uridine_5'-monophosphate_(5TMS)_995880.69_TRUE	2377	571	965	1330	866	1160	1495	2148	1702	2594	1529	3697	3066	3715	2915	1849	1446	1606	1971	1296	1565
"Valeric_acid,_3-hydroxy-3-methyl-_(1TMS)_235895.11_PRED"	1878	3047	3585	6403	1514	4620	2016	561	3930	8234	5452	2966	3398	2395	5562	5042	7055	5046	7971	2594	6205
Valine (2TMS) [MP-1.1]	1979	3041	2617	4766	3551	3615	5914	NaN	2208	6381	NaN	5151	4915	NaN	2733	6234	2813	3538	15553	4924	4511
Viburnitol_(5TMS)_635711.5_PRED	1531	1803	1621	2169	1854	2433	2553	2890	2215	2995	2053	3174	2870	3116	2256	1967	2181	2258	2551	1676	2817
Xylitol (5TMS) [MP-1.1]	1306	1471	1173	1675	1684	1816	1993	2284	1713	1985	1897	2001	1993	2094	1684	1635	1654	1684	2010	1636	1815
Xylose (1MEOX;4TMS) [MP-1.2]	743	1107	345	385	1199	1150	1214	2022	1045	712	644	1868	1548	2028	798	797	734	603	884	599	893
