putative Compound	hum_101_5 _liv	hum_102_5 _liv	hum_103_5 _liv	hum_104_5 _liv	hum_106_5 _liv	hum_121_5 _liv	hum_141_5 _liv	hum_153_5 _liv	hum_98_5 _liv	Wt_132_5 _liv	Wt_133_5 _liv	Wt_134_5 _liv	Wt_135_5 _liv	Wt_142_5 _liv	Wt_147_5 _liv	Wt_148_5 _liv	Wt_152_5 _liv	Wt_91_5 _liv	Wt_wt5_5 _liv
Glycine (2TMS) [MP-2.1]	 NA	8378	6343	8566	22232	11383	14418	19510	2677	17847	25451	15271	18100	22527	16185	28663	13814	29	15744
"Glycine,_N-acetyl-_(1TMS)_334790.31_PRED"	2240	1925	1602	1702	2232	1978	2088	1316	2289	2426	2253	2036	2050	1867	1359	1552	1344	40	2627
Glycine_(2TMS)_226792.3_TRUE	16298	9542	9980	13020	20444	18402	20512	9761	22831	17628	18426	11825	13987	13407	12733	14024	12250	90	29113
Guanidine (3TMS)	2103	1349	1790	1423	1676	1225	1056	1261	1905	1254	1129	1012	1865	980	1085	2039	888	1196	1349
Guanosine-5-monophosphate_(6TMS)_1065235.12_TRUE	552	2444	2435	2234	2441	2514	1816	2044	1583	2140	1795	1974	1513	2304	2287	2321	1797	33	1768
"Gulonic_acid,_2-oxo-_(1MEOX)_(5TMS)_MP_610220.12_PRED"	4490	4327	3234	4248	3702	3652	3314	4932	4016	4572	6716	4696	1974	4956	4228	2990	6012	60	2532
Gulonic_acid_(6TMS)_675374.94_PRED	22631	17955	17390	20266	23274	19553	22771	9785	21560	36436	16854	18276	21590	15421	13336	12947	13915	49027	18514
"Hentriacontane,_n-_1046514.81_PRED"	450	1131	815	823	1483	957	911	2667	1144	1180	2128	1267	976	1270	2231	2273	2577	503	482
Hentriacontanoic_acid_methyl_ester_1125933_PRED	138491	232513	179253	229864	158948	253443	239420	247777	134380	247654	263487	264973	163270	237719	258849	167518	224532	278318	227687
"Heptacosane,_n-_936641.12_PRED"	6511	7147	5788	8265	9127	8000	5198	7231	9298	7594	8032	8723	6669	5529	8505	8430	8473	21	6130
"Hexadecan-1-ol,_n-_(1TMS)_647741.06_TRUE"	7624	885	307	399	602	528	331	1004	353	395	431	401	2086	1420	1055	1206	2062	4508	4105
"Hexadecanoic_acid,_15-methyl-,_methyl_ester_688373.06_PRED"	11709	14154	10917	16281	19687	15067	11096	16077	17856	15008	15752	17034	12741	12291	16994	17634	19589	32	14900
"Hexadecenoate, 9Z- (1TMS) [MP-1.1]"	48123	51093	53187	51977	50222	53090	53033	52538	49183	54427	54083	56478	50247	52542	55219	54010	52583	53649	46468
"Hexadecenoic_acid_methyl_ester,_9-(Z)-,_n-_652277.12_PRED"	1123	1013	923	 NA	851	725	1214	669	1480	807	 NA	638	894	866	557	559	487	155	1248
"Hexanedioic_acid,_hydroxy-_(3TMS)_535302_TRUE"	15817	11656	11333	11647	16953	11637	11196	4851	19000	9304	4977	7689	13817	8640	11009	8124	12071	 NA	14517
Hippuric_acid_(1TMS)_692751.69_TRUE	 NA	10846	8277	7037	6053	7086	4278	10047	7772	6154	4500	6394	4896	8813	7860	5982	5740	8068	4788
Histamine_(3TMS)_653726.19_TRUE	21549	18789	13898	10758	12061	15358	10891	5103	16947	15495	12215	12090	10715	16270	10764	10714	6696	96	11409
Histidine_(3TMS)_678782.75_TRUE	7875	6546	4754	4100	6359	6557	4473	2912	7181	5992	4454	5487	4779	7027	4833	5284	3713	551	4684
Homocysteine_thiolactone_(1TMS)_442569.88_PRED	8032	6688	5115	4208	4373	5808	3898	1850	6454	5665	4397	4586	4172	5969	3946	3988	2495	57	4217
"Homoserine,_O-succinyl-_(3TMS)_712510.25_TRUE"	253	393	216	320	355	172	58	4706	129	432	729	319	356	710	437	1036	2366	131	1152
Homoserine_(3TMS)_405393.81_PRED	16229	8161	6639	1754	3952	2675	7649	6061	17671	1755	1088	919	14131	7190	8254	5228	10986	22971	32878
Hydrocaffeic_acid_(3TMS)_667708.25_TRUE	2455	2739	2555	2031	2206	2349	1756	3357	2333	2180	1668	1632	2264	2393	2213	2458	2091	2411	1414
Hydrogen_sulfide_(2TMS)_99920.4_PRED	2205	2597	3145	3210	3687	2847	4636	1808	3763	3245	3221	2303	4128	2353	2300	2488	1982	513	7756
Hydroxyurea_(3TMS)_285700.81_TRUE	954	671	895	1545	1077	863	1152	510	1743	761	1409	827	822	659	938	504	507	77	1708
"Indol-3-yl-glucoside,_beta-_(5TMS)_966147.44_TRUE"	55	548	268	254	479	186	161	1930	105	351	372	228	467	593	543	721	1532	 NA	1850
Indole-3-acetaldehyde_acetal_(3TMS)_721506.25_PRED	2368	1904	1597	1965	2671	1780	2133	2425	2906	1836	1909	1815	1593	1944	2025	2219	2692	73	2713
"Indole-3-acetic_acid,_1H-_(1TMS)_668169.31_PRED"	2327	1728	1599	1749	2292	1966	2062	1203	2553	2364	2228	1879	2001	1785	1217	1674	1304	53	2527
Indole-3-acetic_acid_(2TMS)_726494.56_TRUE	1265	920	1060	2141	1426	1093	1612	664	2375	1108	1858	1080	969	896	1217	776	767	79	2379
"Indole-3-butanoic_acid,_1H-_(1TMS)_755498.5_PRED"	1054	422	285	242	416	210	143	1123	329	185	264	114	630	448	601	567	1288	1266	2000
"Indole-3-ethanol,_1H-_(2TMS)_652683.19_PRED"	982	992	722	934	864	895	868	1137	883	1093	1514	1020	487	1073	946	789	1264	36	592
Inosine_(4TMS)_904803.88_TRUE	19953	19538	13492	12510	10910	13739	5840	16671	27430	10510	10154	9384	10144	15159	16304	16509	11397	122	10817
"Inositol, myo- (6TMS) [MP-1.1]"	204	4092	3552	3781	4038	2135	1441	2847	659	1710	3683	3625	1584	2134	4553	3896	1464	92	1966
"Inositol-2-phosphate,_myo-_(7TMS)_867558_PRED"	1130	2196	2281	1977	1149	1717	2525	1403	2261	1606	2255	1497	1266	2333	1751	1749	1608	69	2766
Isoascorbic_acid_(4TMS)_673388.94_PRED	810	474	510	540	643	576	629	364	705	1044	480	445	666	416	373	504	406	1463	486
"Isocaproic_acid,_2-oxo-_(1MEOX)_(1TMS)_MP_317977.56_PRED"	73426	50426	51415	43798	47801	40547	28453	36884	64538	36110	33329	31567	45210	39620	41097	34410	35517	80305	34235
Isocitrate (4TMS) [MP-1.1]	 NA	1166	885	1228	2734	1625	1836	2530	451	2033	3032	2167	2447	2792	2090	3494	1708	54	1891
Isomaltose_(1MEOX)_(8TMS)_MP_908553_PRED	1679	1951	1824	2491	2785	2174	1835	2577	2760	2230	2292	2392	2226	1724	2571	2418	2705	52	2305
"Isovaleric_acid,_2-oxo-_(1MEOX)_(1TMS)_BP_269296.62_PRED"	5072	2528	2382	599	1371	1019	2409	2251	5706	620	524	638	4578	2543	2716	1901	3408	7006	10223
Itaconic_acid_(2TMS)_387877.28_PRED	26820	10247	15224	21861	17569	12434	 NA	11319	17235	12648	14174	15688	34642	12213	12608	13632	8113	 NA	19647
Kaempferol_[+H2]_(5TMS)_1049359.75_TRUE	5086	4364	5105	4599	3209	2979	6877	2244	 NA	3959	7199	 NA	4065	 NA	250	120	1680	596	3891
"Kestose,_1-_(11TMS)_1034658.38_TRUE"	1123	1013	923	753	 NA	725	563	669	1480	807	1014	638	 NA	866	557	559	487	155	1248
Lactic_acid_dimer_(2TMS)_404569.56_TRUE	386	2111	2095	1758	2151	2073	1463	1570	1317	1766	1572	1721	1221	1916	1860	1714	1493	23	1513
Lactitol_(9TMS)_862430.56_PRED	1565	1430	1506	1215	2958	1091	1065	7343	2158	1530	761	1153	1320	2510	2368	3305	6183	3535	5980
"Lactose,_alpha-_(1MEOX)_(8TMS)_BP_932843_PRED"	26820	10247	15224	21861	17569	12434	12460	11319	17235	12648	14174	15688	34642	12213	12608	13632	8113	14538	19647
Lactulose_(1MEOX)_(8TMS)_MP_858297.25_TRUE	8141	3244	1535	1479	2727	1149	955	8057	1994	1299	1662	1082	4317	3328	3899	3424	9069	9248	16812
Laminaribiose_(1MEOX)_(8TMS)_MP_939711.88_PRED	1123	 NA	923	753	 NA	725	 NA	669	1480	807	1014	505	894	866	514	559	487	155	1248
"Linolenate, alpha-"	10982	11418	10711	8637	20586	11814	10500	3100	16947	7942	4142	8134	9701	7016	8865	7584	8386	 NA	10133
Lysine (3TMS) [MP-1.1]	332	542	564	515	364	521	606	587	514	649	609	632	473	609	573	415	613	43	482
Lyxonic_acid_(5TMS)_539863.25_TRUE	313	2238	2087	2100	2337	1710	2342	1580	773	1116	1546	2059	1943	2353	2051	1216	1011	31	4347
"Lyxonic_acid-1,4-lactone_(3TMS)_580326.75_TRUE"	903916	632984	560272	520371	518556	467813	307823	438636	680530	408868	386626	364306	508333	501265	480065	357751	478837	1208024	379653
Lyxose_(1MEOX)_(4TMS)_MP_498323.69_TRUE	1402	45229	51652	77835	93756	30033	60109	35337	7620	24579	42995	50100	30489	36478	42813	46238	17016	 NA	46451
Maltose_(1MEOX)_(8TMS)_BP_880335.56_TRUE	277	1337	1456	1390	1791	1475	1355	1429	522	1552	1344	1244	1079	1520	1047	1345	1241	148	2225
Maltotriose_(1MEOX)_(11TMS)_BP_2028108.62_PRED	3492	3600	3532	4501	5316	4064	3472	4412	5072	4055	4594	4650	3352	3727	4195	3951	5157	39	4951
Mannitol|Sorbitol (6TMS) [MP-1.1]	1565	913	954	1271	1154	1098	1265	806	1180	1462	1594	1241	1090	1170	797	759	1052	56	1223
Melibiose_(1MEOX)_(8TMS)_BP_922726.31_TRUE	279	842	883	889	758	670	669	750	1283	745	771	705	761	680	719	724	534	31	718
Methionine (2TMS) [MP-1.1]	4956	12593	12015	14853	21096	15467	14044	12118	16196	14021	17726	21447	10177	12715	13356	14467	15639	118	11402
Methionine sulfoxide [MP-1.1]	893	1193	1253	1077	1841	1060	1173	838	1605	1330	1234	1003	1192	1137	818	994	829	64	1224
myo-Inositol-1-phosphate_(7TMS)_788938.62_PRED	635	 NA	983	705	946	611	1211	119	500	482	334	412	 NA	624	 NA	87	337	34	986
Naringenin_(3TMS)_1026216.62_TRUE	2927	3621	2963	4202	5186	3831	2817	4116	4891	3559	3953	4402	3299	3235	4178	4352	4955	71	3938
"Neuraminic_acid,_N-acetyl-_(1MEOX)_(7TMS)_MP_873067.12_TRUE"	691	539	439	638	614	581	457	636	863	609	534	567	558	436	758	763	618	91	555
Nicotinamide_(2TMS)_455050_TRUE	8093	6935	6809	6856	15000	5421	5876	40926	13048	8147	3488	6224	6101	14308	12528	18528	35591	14079	33321
Nicotine_388893.59_PRED	133	3113	4099	3012	3656	3940	2981	3379	4031	3654	2678	2234	3225	4179	2530	4475	2723	100	4995
"Nigerose,_D-_(1MEOX)_(8TMS)_950864.12_PRED"	158	3113	4099	3012	3656	3940	2981	3379	4031	3654	2678	2234	3225	4179	2530	4475	2723	100	4995
Nonanoic_acid_(1TMS)_380280.66_PRED	682	684	858	1300	1326	1120	2326	464	1273	1058	1388	761	1798	706	760	676	505	50	3634
Nonanoic_acid_methyl_ester_(FAME_MIX)_299188.81_PRED	 NA	1605	1068	1212	1412	1026	947	1365	1590	1126	1365	974	957	1504	1524	1345	1204	98	1170
Norleucine_(3TMS)_441396.09_PRED	1970	5916	6437	4892	7054	6028	8374	5301	7011	6724	6894	7059	4453	7311	5001	6000	4877	81	6540
Octacosanoic_acid_(1TMS)_1072070.62_TRUE	734	792	1065	659	715	643	756	620	1610	415	464	469	598	631	576	601	474	38	631
"Octadecadienoic_acid_methyl_ester,_9,12-(Z,Z)-,_n-_729866.38_PRED"	8886	4846	6035	8317	6935	6575	8386	4578	6337	8503	10563	7252	6020	6406	4809	4615	6441	160	6835
"Octadecane,_n-_609623.12_PRED"	3014	1538	3190	2262	2861	2164	3862	1810	2604	2834	3081	2240	2951	1834	2327	2069	2397	88	3350
Octadecanoic_acid_methyl_ester_(FAME_MIX)_871736.5_PRED	8749	27892	25848	23924	20469	18064	20866	14341	25357	21655	13599	10109	14937	15606	18100	16824	16427	132	28090
"Octadecatrienoic_acid,_n-_(1TMS)_781232.38_PRED"	2489	1085	866	841	1094	827	756	588	4984	746	716	559	698	744	801	666	448	94	1072
"Octadecen-1-ol,_9-(Z)-_(1TMS)_746480.38_PRED"	2230	858	750	703	750	760	654	509	3997	666	660	576	617	581	591	632	369	81	1007
"Octadecenoic_acid_methyl_ester,_9-(Z)-,_n-_732023.88_PRED"	246	763	479	582	870	887	679	746	2463	788	712	788	641	919	785	756	623	44	874
Octopamine_(4TMS)_667962_TRUE	9469	3070	1535	1398	2480	940	1129	6650	2275	1253	1419	861	4460	3104	3890	2978	7093	13034	15312
Ononitol_(5TMS)_672559.06_PRED	381	2863	2268	3886	8938	3349	4066	4143	2239	2635	4020	5551	1978	1944	3317	4660	4196	586	574
"Ornithine,_N2-acetyl-_(3TMS)_694953.31_TRUE"	898	2177	2014	2156	1667	2182	2354	2158	1614	2365	2394	2500	1885	2383	2170	1770	2543	576	1871
Ornithine_(3TMS)_587245.62_PRED	13319	10107	12563	11077	18932	10832	9264	8855	16413	9258	11010	10717	7272	8632	8349	10132	10946	41	10645
"Ornithine-1,5-lactam_(2TMS)_437383_PRED"	3724	1001	1511	55	151	2179	1033	682	5338	886	 NA	51	4537	1497	74	2343	595	41	75
"Orotic_acid,_4,5-dihydro-_(3TMS)_616339.19_TRUE"	11512	8118	7687	6646	7808	6126	4407	5938	9878	5598	5152	4842	7031	6389	6478	5488	5817	13211	5378
Orthophosphate	155904	165167	170045	172876	159860	172094	168216	176248	154177	176846	175529	184999	164323	168096	173692	185814	172488	173268	148942
Paracetamol_(2TMS)_535603.69_PRED	6774	11838	9321	11716	8598	13255	12825	12781	7347	12749	13329	14048	8605	13422	13618	8124	13381	16940	11993
Pentacosanoic_acid_methyl_ester_978390.75_TRUE	1053	437	662	1306	667	782	313	760	1260	517	502	324	868	612	599	1113	288	594	1192
Pentadecanoate ((1TMS)) [MP-1.1]	670	304	466	1195	512	591	257	387	836	304	406	247	593	437	500	684	201	368	1121
Phenylpyruvic_acid_(1MEOX)_(1TMS)_BP_524320_TRUE	241	1675	1713	2491	3915	3345	3628	1746	3016	3206	3231	2282	2600	2322	2224	2808	2222	60	5379
Phosphoric_acid_monomethyl_ester_(2TMS)_258939.19_PRED	1068	846	699	638	730	562	466	590	871	617	433	390	672	633	576	574	559	1168	507
Phyllodihydroquinone_(2TMS)_1143409_PRED	3661	3721	4386	3866	7534	3984	5457	4038	4384	4323	5372	4577	3192	4714	4401	3347	5002	1370	4484
Phytol ((1TMS)) [MP-1.1]	708	773	2214	419	606	413	1719	248	734	834	276	227	2294	461	1625	874	714	44	1916
Picolinic_acid_(1TMS)_430647.09_TRUE	1496	3658	3915	3793	4882	4386	4037	3748	2358	4834	3566	3680	4032	4070	3642	4831	3750	816	5785
Prephenic_acid_(1MEOX)_(3TMS)_(Derivate_not_found)_721096.31_PRED	 NA	652	791	 NA	782	709	479	603	322	591	503	617	395	629	636	679	455	44	494
Proline_(1TMS)_266087_PRED	16897	22975	23068	19344	24176	19249	13741	22382	14831	21070	17102	15179	29941	17398	17750	37311	16923	7906	16611
Proline_[+CO2]_(2TMS)_534232.75_TRUE	518339	555510	586609	582215	558071	584590	576602	576983	530731	595778	586662	612196	561748	569465	600112	597177	557011	579338	512518
"Propane,_1,3-diamino-_(4TMS)_478361.56_TRUE"	5920	709	607	612	561	475	594	324	515	795	596	531	461	398	482	400	530	49	1279
Psicose_(1MEOX)_(5TMS)_MP_579668.94_TRUE	3615	1142	589	567	965	416	427	2818	966	545	550	369	1778	1233	1481	1111	2584	4835	5895
Putrescine (|Agmatine) (4TMS) [MP-1.2]	13546	7762	12383	13487	17901	12819	20626	12052	12063	16215	20229	14259	10652	11511	8383	10400	12281	289	14763
Putrescine (3TMS) [MP-1.1]	127779	71129	108101	122462	161591	113562	183698	107710	109266	147290	184207	129733	97196	101899	75149	95051	110796	3151	131308
Putrescine_(3TMS)_469088.72_PRED	3222	3091	2908	3278	2000	2387	2610	1088	1531	2664	3086	2748	2411	2592	1688	1056	1580	163	1981
"Pyridine, 2-Hydroxy- (1TMS) [MP-1.1]"	159	1031	636	466	896	1055	342	538	900	621	539	854	470	956	891	966	647	62	431
"Pyridine, 4-Hydroxy- (1TMS) [MP-1.1]"	 NA	1903	2089	2702	4625	3983	4194	2026	4346	3741	3772	2602	2913	2890	2730	2693	2556	257	6450
Pyroglutamic_acid_(2TMS)_507313.84_TRUE	542924	602313	588301	611485	543941	650671	734928	617301	539248	649062	703227	754074	543906	728901	728580	576755	785784	698832	564180
"Pyruvic_acid,_3-hydroxy-_(1MEOX)_(2TMS)_BP_355231.75_PRED"	10302	9257	8777	8858	18946	7181	7618	50268	16750	10297	4993	8242	8485	18033	15723	23367	43650	35079	42722
"Pyruvic_acid,_4-hydroxyphenyl-_(1MEOX)_(2TMS)_MP_684705.12_TRUE"	3902	2296	2489	3392	3079	3096	3737	1891	2804	3833	4629	3200	2510	2823	2147	2029	2815	38	3034
Pyruvic_acid_(1MEOX)_(1TMS)_222801.88_TRUE	4584	3535	3304	3076	4344	3692	3913	2508	4875	4607	3951	3683	 NA	3444	2598	2878	2407	145	4764
"Quinic_acid,_1-caffeoyl-,_trans-_(6TMS)_1139153.5_TRUE"	8458	5926	5985	6939	8679	6059	5118	5745	8367	5426	6706	6894	5166	5401	5792	5633	6767	167	5417
"Quinic_acid,_3-caffeoyl-,_cis-_(6TMS)_996810.12_TRUE"	8458	5926	5985	6939	8679	6059	5118	5745	8367	5426	6706	6894	5166	5401	5792	5633	6767	 NA	5417
"Quinic_acid,_4-caffeoyl-,_cis-_(6TMS)_1007153.25_TRUE"	33966	16280	16559	16294	20144	16082	17073	16483	30592	15824	9702	12395	12535	18314	13403	15348	14122	31	15894
Rhamnose_(1MEOX)_(4TMS)_BP_570616.31_PRED	 NA	713	233	434	647	417	118	2514	127	447	942	723	388	1286	988	1380	2703	327	3453
"Ribonic_acid-1,4-lactone_(3TMS)_550463.56_TRUE"	5261	15020	14327	13088	11962	10244	11322	7837	14474	11668	7427	5962	7995	8668	9920	9601	9041	235	15464
"Ribose,_2-deoxy-_(1MEOX)_(3TMS)_BP_469963.12_TRUE"	88234	43481	46654	44047	53243	43288	44924	44753	82609	43153	26534	32686	33855	48013	35920	40942	37413	102	42399
"Ribose,_2-deoxy-_(1MEOX)_(3TMS)_MP_471518.25_TRUE"	505420	502052	528028	513911	494009	540135	578025	513929	502664	541658	565464	591303	486971	566666	580071	516180	589830	552136	473766
Ribose_(1MEOX)_(4TMS)_MP_503578.66_TRUE	19186	13023	13040	11053	11848	10385	7389	9374	17125	8966	8503	7955	11168	10630	10719	8234	9609	22888	8541
"Ribose-5-phosphate,_2-deoxy-_(1MEOX)_(4TMS)_MP_691366_TRUE"	29983	14047	15302	14032	17821	14094	15168	14701	27845	13890	9168	10682	11712	16461	12154	13445	12260	 NA	14016
Ribose-5-phosphate_(1_MEOX)_(5TMS)_BP_707635.88_TRUE	2647	826	544	349	691	324	313	2218	731	358	441	280	1299	861	1093	866	1981	3724	4428
Ribose-5-phosphate_(1_MEOX)_(5TMS)_MP_705185.88_TRUE	1459	649	385	408	579	334	252	1609	497	254	381	216	865	723	850	811	1639	1768	3027
Ribulose-5-phosphate_(1MEOX)_(5TMS)_MP_715032.12_TRUE	798	2432	1839	2497	2183	1926	2362	1735	1605	2224	2902	2773	1989	1850	2369	2188	2676	56	2300
Saccharopine_(5TMS)_855563.75_TRUE	11822	3700	1997	1809	3009	1147	1414	9081	2873	1512	1698	1104	5709	3658	4824	3614	8474	16063	19739
Salicin_(5TMS)_851643.56_TRUE	87	418	146	282	276	131	33	4257	78	405	602	264	162	585	434	858	2086	134	1076
Salicylaldehyde-beta-D-glucopyranoside_(1MEOX)_(4TMS)_BP_(Derivate_not_found)_895394.56_PRED	585	3625	3109	3021	2480	2616	3394	2263	2299	3884	2993	4556	3018	2798	3219	4015	2747	 NA	2128
Salicylic_acid_(2TMS)_485058.22_PRED	4395	5890	3660	5505	7303	5848	5655	5253	6296	5471	6310	6974	3976	5510	5904	5451	6927	60	6618
Salicylic_acid-glucopyranoside_(5TMS)_896545.56_PRED	4395	5890	3660	5505	7303	5848	5655	5253	6296	5471	6310	6974	3976	5510	5904	5451	6927	 NA	6618
Sarcosine_(2TMS)_233204.59_TRUE	296	772	838	563	958	793	999	694	912	896	927	864	684	906	615	908	593	64	876
"Sequoyitol,_D-_(5TMS)_668399.5_PRED"	641	459	1091	1226	760	760	1000	830	588	1196	1828	1070	768	1066	492	352	1122	31	392
Serine (2TMS)	154411	78920	81158	78131	95436	76068	82111	76000	142792	73978	46607	58386	59577	85870	64533	66889	66518	 NA	78690
Serine (3TMS) [MP-1.1]	154411	78920	81158	78131	95436	76068	82111	76000	142792	73978	46607	58386	59577	85870	64533	66889	66518	47	78690
"Serine,_N-acetyl-_(2TMS)_491357.06_PRED"	4035	8332	7767	7719	4203	6114	9659	5220	7196	6044	8699	5559	3903	8564	6037	5767	6476	58	10185
Serine_(2TMS)_328955.09_PRED	203	2159	1179	719	1764	1984	628	750	1746	1590	715	1599	1190	1951	1609	1981	871	25	809
Serine_(3TMS)_356866_TRUE	106	4751	5397	7950	9710	3116	6100	3539	826	2363	4454	5007	3103	3541	4273	4932	1781	456	4764
