putative Compound	hum_101_4 _lun	hum_102_4 _lun	hum_103_4 _lun	hum_104_4 _lun	hum_105_4 _lun	hum_106_4 _lun	hum_120_4 _lun	hum_121_4 _lun	hum_141_4 _lun	hum_153_4 _lun	hum_98_4 _lun	Wt_132_4 _lun	Wt_133_4 _lun	Wt_134_4 _lun	Wt_135_4 _lun	Wt_142_4 _lun	Wt_147_4 _lun	Wt_148_4 _lun	Wt_152_4 _lun	Wt_91_4 _lun	Wt_wt4_4 _lun
Serine (3TMS) [MP-1.1]	6328	5421	5454	4941	6605	7629	4411	4670	6470	6450	6391	4916	5343	3733	4160	5518	4961	6346	4698	6532	4861
Serine (4TMS)	625	567	611	509	793	881	714	659	743	938	621	763	827	528	543	700	969	1063	645	752	787
Serine_(2TMS)_328955.09_PRED	5176	3729	3624	4097	5326	4549	3718	3618	4650	5550	5100	5170	3614	3049	3350	4584	3898	5204	3501	4736	3353
Shikimic_acid_(4TMS)_586124.94_TRUE	20836	19645	18921	20319	21615	20280	20216	20760	20344	19039	19375	21258	19850	19218	22091	20520	20548	20864	21681	19150	20689
Siloxane_739483_PRED	502	690	945	934	1207	755	326	530	898	1691	759	589	640	316	611	520	421	1035	591	1138	383
similar_to_Asparagine_Derivate_505075.09_PRED	2284	2479	2529	2513	3224	3868	3139	2718	3356	4430	1659	3043	3441	1911	2270	2767	4486	3986	2950	3667	3290
similar_to_NaN_(Hexopyranose_like)_623755.44_PRED	862	7226	2847	6197	8024	7235	7404	5100	5755	NaN	3956	4848	7044	3907	1877	5672	7419	3649	3303	NaN	7205
"Sorbitol, U13C-"	24739	23026	21921	23886	29468	33855	14052	15959	26552	46464	24745	20956	18723	17190	14559	20864	17140	29633	20865	31470	22908
Spermine_(6TMS)_883354.38_TRUE	554	745	699	551	982	744	368	375	681	978	502	455	467	407	330	494	417	523	421	877	380
SucciNaNte (2TMS) [MP-1.1]	1184	1168	1027	1214	1506	1160	696	1099	938	1296	1204	904	912	1227	1013	1466	1410	2318	1398	1575	876
Succinic_acid_(2TMS)_365265.25_TRUE	11184	8896	9467	11369	16706	11053	6108	9934	9264	11880	11717	8114	8621	10362	9893	11827	12198	21314	11823	14827	7835
"Tetradecan-1-ol,_n-_(1TMS)_592555.94_PRED"	107119	103079	98069	105767	107828	103765	103692	103602	105717	97799	99992	109010	98310	98413	101945	103971	104372	106854	105797	99829	106183
"Tetradecenoic_acid_methyl_ester,_9-(Z)-,_n-_572839.69_PRED"	1896	1867	1307	1692	2321	2785	1913	1210	1352	2796	1506	1609	1940	1226	1171	1413	2286	1894	1470	1811	1953
ThreoNaNte (4TMS) [MP-1.1]	5208	2960	4102	3542	3810	4562	3725	NaN	4871	5606	3612	5363	4726	2570	4134	3484	4693	4341	3767	5380	4225
Threonic_acid_(4TMS)_458765.47_TRUE	2637	1186	2179	1673	1710	1752	1398	1619	2099	2494	1402	2524	2153	944	2160	1376	1425	1440	1708	2870	1719
Threonine (3TMS) [MP-1.1]	4710	3867	3756	3766	4701	5505	3272	3282	4602	5257	4530	3366	3800	2808	2730	4661	3198	4214	3572	5189	3336
Threose|Erythrose (brk) [BD-1.1]	1039	766	939	896	757	1147	770	344	323	1038	388	414	364	296	452	703	682	549	472	928	700
"Tridecan-1-ol,_n-_(1TMS)_547762.06_PRED"	8795	6392	3792	6633	3642	6890	7134	5857	5698	6101	5637	8694	4155	4325	1442	3059	5426	6679	7657	6058	7740
"Tridecane,_n-_342778.75_PRED"	64621	29529	34322	36556	31103	51354	34626	29733	42500	51036	54958	30122	27716	19977	26422	52664	26089	38596	35689	47405	25225
Tridecanoic_acid_586610.62_PRED	92207	88704	82971	91950	89798	88179	88950	89999	91730	85385	85479	94677	83700	86976	85664	88511	90499	91647	91213	84204	90666
Tropine_(1TMS)_336960.03_PRED	8117	5644	5352	6958	7740	7090	5806	5749	7275	8624	8092	7817	5390	5020	5176	6900	6043	7926	5616	6618	5248
Tropinone_(1MEOX)_343648.91_PRED	21264	9500	11180	12520	9709	17086	11064	9757	13428	16801	17870	10162	8301	6733	7728	15996	8712	12414	11599	15234	8182
Tryptophan_(2TMS)_789997.94_PRED	1252	1309	1019	1228	1442	1445	1080	1220	1266	1787	729	896	1029	938	832	1390	1363	1541	1382	1194	1046
Tyrosine (3TMS) [MP-1.1]	2948	2265	1980	2221	2242	3649	1930	2249	3249	2969	2567	1897	2040	1834	1460	2597	2003	2459	2035	3016	2365
Undecanoic_acid_(1TMS)_480425.62_TRUE	1615	1359	1070	1790	2371	2567	2635	1419	1248	1396	1733	1117	1746	1126	886	1212	1848	867	966	1299	1803
Uracil (2TMS) [MP-1.1]	553	997	543	848	605	626	419	677	1817	1674	620	738	417	364	431	708	1147	889	516	570	446
Urea (2TMS) [MP-1.1]	119632	49970	57984	62501	48745	85398	61991	52184	72190	81469	101573	53824	46548	35008	44109	96519	46315	62997	59858	73501	43821
Uridine_5'-monophosphate_(5TMS)_995880.69_TRUE	767	1475	2524	1716	1307	1185	1232	1066	889	1789	1891	2352	1484	1133	620	500	2458	946	1659	1729	1621
"Valeric_acid,_3-hydroxy-3-methyl-_(1TMS)_235895.11_PRED"	760	6696	3426	5749	4790	5582	2016	3130	3298	6379	NaN	2360	2933	2651	1238	2665	7948	6577	2145	3660	3489
"Valeric_acid,_5-amino-_(3TMS)_500550.56_TRUE"	570	8505	12550	8144	13618	11033	9082	9820	7772	15716	NaN	11601	11621	5678	6657	5520	11459	13347	9175	13037	8939
Valine (2TMS) [MP-1.1]	2108	NaN	4221	4648	NaN	4948	2286	4396	11186	8519	1743	7720	3849	3773	3939	3039	3389	5124	5486	9378	3138
Valine_(2TMS)_272492.56_PRED	6418	5137	5009	5236	8606	8997	4069	6814	6984	8944	5682	4731	4951	3960	5560	6533	5899	6663	6002	8950	4409
Viburnitol_(5TMS)_635711.5_PRED	742	452	439	548	337	418	545	480	519	729	791	674	306	346	216	585	432	848	697	393	489
Xylulose_(1MEOX)_(4TMS)_MP_509094.19_TRUE	3173	2938	2857	2993	3324	4345	3456	2936	3845	4825	2620	3464	3590	2248	2389	3300	4788	4281	3004	3942	3710
